id,prac_2016,vik_2016,prac_2018,vik_2018,prac_2020,vik_2020,prac_2022,vik_2022,datum_exportu,ObjectId,Shape__Length
20,35,20,40,20,60,25,60,25,2024/08/05 00:00:00+00,129,425.022110872137
21,20,0,20,0,15,0,15,0,2024/08/05 00:00:00+00,130,367.632515752754
1,35,0,40,0,50,0,50,0,2024/08/05 00:00:00+00,131,244.647808956555
2,35,0,40,0,50,0,50,0,2024/08/05 00:00:00+00,132,291.841935910121
3,15,0,15,0,15,0,15,0,2024/08/05 00:00:00+00,133,410.415712451287
4,20,0,20,0,15,0,15,0,2024/08/05 00:00:00+00,134,331.937323034717
15,45,0,50,0,50,0,50,0,2024/08/05 00:00:00+00,135,214.864515038281
11,35,0,35,0,47,0,47,0,2024/08/05 00:00:00+00,136,447.832549478763
10,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,137,412.478920753037
12,45,0,50,0,50,0,50,0,2024/08/05 00:00:00+00,138,262.160941386009
13,0,0,0,0,0,0,25,0,2024/08/05 00:00:00+00,139,516.040105831305
14,50,30,50,20,45,15,45,15,2024/08/05 00:00:00+00,140,464.782105481913
42,25,0,25,0,45,0,45,0,2024/08/05 00:00:00+00,141,186.882788614669
43,45,35,50,30,70,35,80,40,2024/08/05 00:00:00+00,142,320.965315380417
48,40,25,50,25,65,30,65,30,2024/08/05 00:00:00+00,143,454.918900962371
49,45,28,60,25,65,30,65,30,2024/08/05 00:00:00+00,144,118.542798635013
50,20,10,20,5,25,10,20,5,2024/08/05 00:00:00+00,145,643.129300282131
51,55,35,55,30,80,40,110,55,2024/08/05 00:00:00+00,146,148.223471370981
52,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,147,599.20551045911
29,0,0,0,0,0,0,0,0,2024/08/05 00:00:00+00,148,230.188362742251
33,60,35,70,25,75,35,90,40,2024/08/05 00:00:00+00,149,446.635933836458
34,20,10,20,10,10,10,20,20,2024/08/05 00:00:00+00,150,191.17813437805
36,22,10,25,10,20,10,15,8,2024/08/05 00:00:00+00,151,203.623618843388
37,65,45,60,30,80,40,140,65,2024/08/05 00:00:00+00,152,499.744353550133
35,60,30,85,20,75,35,100,50,2024/08/05 00:00:00+00,153,263.852258997214
38,25,10,25,10,20,15,40,20,2024/08/05 00:00:00+00,154,138.548451025755
39,20,5,20,5,20,10,35,20,2024/08/05 00:00:00+00,155,266.004980380147
40,60,40,55,30,80,40,135,60,2024/08/05 00:00:00+00,156,222.715973754042
